safe_file_id,file_path,label,label_id,condition,split,format,channels,native_sample_rate,duration_sec,sha256_hash,language,speaker_id,generator_id
eval_train_001,data/human/human_01.wav,bona_fide,0,clean_bona_fide,train,WAV,1,48000,5.673,b17203d581496d5d,en,speaker_00,human_recording
eval_train_002,data/human/human_02.wav,bona_fide,0,clean_bona_fide,train,WAV,1,48000,6.354,c406978887e34654,en,speaker_00,human_recording
eval_train_003,data/human/human_03.wav,bona_fide,0,clean_bona_fide,train,WAV,2,48000,3.968,e6674e395675f82e,en,speaker_00,human_recording
eval_train_004,data/human/human_04.wav,bona_fide,0,clean_bona_fide,train,WAV,1,48000,6.434,ade66f5afecff317,en,speaker_00,human_recording
eval_train_005,data/human/human_05.wav,bona_fide,0,clean_bona_fide,train,WAV,1,48000,7.954,f11c71e1894b5175,en,speaker_00,human_recording
eval_train_006,data/ai_voice/ai_01.wav,spoof,1,telephony_spoof,train,WAV,2,8000,5.47,fa93d3b3924a3f7f,en,speaker_01,elevenlabs_or_tts
eval_train_007,data/ai_voice/ai_02.wav,spoof,1,telephony_spoof,train,WAV,2,8000,16.583,7a4347c5e8c8767d,en,speaker_01,elevenlabs_or_tts
eval_train_008,data/ai_voice/ai_03.wav,spoof,1,telephony_spoof,train,WAV,1,8000,15.545,e0abb88425bd2318,en,speaker_01,elevenlabs_or_tts
eval_train_009,data/ai_voice/ai_04.wav,spoof,1,telephony_spoof,train,WAV,2,8000,16.577,6b5bd9f04095d5b0,en,speaker_01,elevenlabs_or_tts
eval_train_010,data/ai_voice/ai_05.wav,spoof,1,telephony_spoof,train,WAV,2,8000,16.583,df1a731bc6c4b9ba,en,speaker_01,elevenlabs_or_tts
eval_test_011,data/test/human/01.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,26.273,97f4ed6ff0773720,en,speaker_00,human_recording
eval_test_012,data/test/human/02.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,12.313,4cc5a7e4e1d937ad,en,speaker_00,human_recording
eval_test_013,data/test/human/03.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,15.254,c21603bb5691d376,en,speaker_00,human_recording
eval_test_014,data/test/human/4.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,14.233,dd11132333dc41ef,en,speaker_00,human_recording
eval_test_015,data/test/human/5.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,16.154,e2b7ae50f321c503,en,speaker_00,human_recording
eval_test_016,data/test/human/6.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,18.373,fca2c8ce06f75754,en,speaker_00,human_recording
eval_test_017,data/test/human/7.wav,bona_fide,0,clean_bona_fide,test,WAV,1,48000,15.954,8880a1f06b0bedff,en,speaker_00,human_recording
eval_test_018,data/test/ai_voice/1.wav,spoof,1,telephony_spoof,test,WAV,1,8000,37.852,25fcbfb2b0aa214a,en,speaker_01,elevenlabs_or_tts
eval_test_019,data/test/ai_voice/2.wav,spoof,1,telephony_spoof,test,WAV,1,8000,35.944,abb42aafe6e34ed1,en,speaker_01,elevenlabs_or_tts
eval_test_020,data/test/ai_voice/3.wav,spoof,1,telephony_spoof,test,WAV,1,8000,37.93,8a3c765a88dcc238,en,speaker_01,elevenlabs_or_tts
eval_test_021,data/test/ai_voice/4.wav,spoof,1,telephony_spoof,test,WAV,1,8000,51.67,0b8ebf847a129009,en,speaker_01,elevenlabs_or_tts
eval_test_022,data/test/ai_voice/5.wav,spoof,1,telephony_spoof,test,WAV,1,8000,31.843,901677d465dc32b7,en,speaker_01,elevenlabs_or_tts
eval_test_023,data/test/ai_voice/6.wav,spoof,1,telephony_spoof,test,WAV,1,8000,31.843,901677d465dc32b7,en,speaker_01,elevenlabs_or_tts
eval_test_024,data/test/ai_voice/7.wav,spoof,1,telephony_spoof,test,WAV,1,8000,33.881,68c794d80907591a,en,speaker_01,elevenlabs_or_tts
