feature_name,importance
Feature_6,1.0
Feature_1,0.0
Feature_2,0.0
Feature_3,0.0
Feature_4,0.0
Feature_5,0.0
Feature_7,0.0
Feature_8,0.0
Feature_9,0.0
Feature_10,0.0
Feature_11,0.0
Feature_12,0.0
Feature_13,0.0
Feature_14,0.0
Feature_15,0.0
Feature_16,0.0
Feature_17,0.0
Feature_18,0.0
Feature_19,0.0
Feature_20,0.0
Feature_21,0.0
Feature_22,0.0
Feature_23,0.0
Feature_24,0.0
Feature_25,0.0
Feature_26,0.0
Feature_27,0.0
Feature_28,0.0
Feature_29,0.0
Feature_30,0.0
Feature_31,0.0
Feature_32,0.0
Feature_33,0.0
Feature_34,0.0
Feature_35,0.0
Feature_36,0.0
Feature_37,0.0
Feature_38,0.0
Feature_39,0.0
Feature_40,0.0
Feature_41,0.0
Feature_42,0.0
Feature_43,0.0
Feature_44,0.0
Feature_45,0.0
Feature_46,0.0
Feature_47,0.0
Feature_48,0.0
Feature_49,0.0
Feature_50,0.0
Feature_51,0.0
Feature_52,0.0
Feature_53,0.0
Feature_54,0.0
Feature_55,0.0
Feature_56,0.0
Feature_57,0.0
Feature_58,0.0
Feature_59,0.0
Feature_60,0.0
Feature_61,0.0
Feature_62,0.0
Feature_63,0.0
Feature_64,0.0
Feature_65,0.0
Feature_66,0.0
Feature_67,0.0
Feature_68,0.0
Feature_69,0.0
Feature_70,0.0
Feature_71,0.0
Feature_72,0.0
Feature_73,0.0
Feature_74,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_78,0.0
Feature_79,0.0
Feature_80,0.0
Feature_81,0.0
Feature_82,0.0
Feature_83,0.0
Feature_84,0.0
Feature_85,0.0
Feature_86,0.0
Feature_87,0.0
Feature_88,0.0
Feature_89,0.0
Feature_90,0.0
Feature_91,0.0
Feature_92,0.0
Feature_93,0.0
Feature_94,0.0
Feature_95,0.0
Feature_96,0.0
Feature_97,0.0
Feature_98,0.0
Feature_99,0.0
Feature_100,0.0
Feature_101,0.0
Feature_102,0.0
Feature_103,0.0
Feature_104,0.0
Feature_105,0.0
Feature_106,0.0
Feature_107,0.0
Feature_108,0.0
Feature_109,0.0
Feature_110,0.0
Feature_111,0.0
Feature_112,0.0
Feature_113,0.0
Feature_114,0.0
Feature_115,0.0
Feature_116,0.0
Feature_117,0.0
Feature_118,0.0
Feature_119,0.0
Feature_120,0.0
Feature_121,0.0
Feature_122,0.0
Feature_123,0.0
Feature_124,0.0
Feature_125,0.0
Feature_126,0.0
Feature_127,0.0
Feature_128,0.0
Feature_129,0.0
Feature_130,0.0
Feature_131,0.0
Feature_132,0.0
Feature_133,0.0
Feature_134,0.0
Feature_135,0.0
Feature_136,0.0
Feature_137,0.0
Feature_138,0.0
Feature_139,0.0
Feature_140,0.0
Feature_141,0.0
Feature_142,0.0
Feature_143,0.0
Feature_144,0.0
Feature_145,0.0
Feature_146,0.0
Feature_147,0.0
Feature_148,0.0
Feature_149,0.0
Feature_150,0.0
Feature_151,0.0
Feature_152,0.0
Feature_153,0.0
Feature_154,0.0
Feature_155,0.0
Feature_156,0.0
Feature_157,0.0
Feature_158,0.0
Feature_159,0.0
Feature_160,0.0
Feature_161,0.0
Feature_162,0.0
Feature_163,0.0
Feature_164,0.0
Feature_165,0.0
Feature_166,0.0
Feature_167,0.0
Feature_168,0.0
Feature_169,0.0
Feature_170,0.0
Feature_171,0.0
Feature_172,0.0
Feature_173,0.0
Feature_174,0.0
Feature_175,0.0
Feature_176,0.0
Feature_177,0.0
Feature_178,0.0
